ID,"Google Name","LogicMonitor Name",Offset
Pacific/Niue,"(GMT-11:00) Niue",,-11
Pacific/Pago_Pago,"(GMT-11:00) Pago Pago","Pacific/Samoa (UTC-11:00 Coordinated Universal Time-11, Samoa)",-11
Pacific/Honolulu,"(GMT-10:00) Hawaii Time","US/Hawaii (Hawaii)",-10
Pacific/Rarotonga,"(GMT-10:00) Rarotonga",,-10
Pacific/Tahiti,"(GMT-10:00) Tahiti",,-10
Pacific/Marquesas,"(GMT-09:30) Marquesas",,-9.5
America/Anchorage,"(GMT-09:00) Alaska Time","AST (UTC-09:00 Alaska)",-9
Pacific/Gambier,"(GMT-09:00) Gambier",,-9
America/Los_Angeles,"(GMT-08:00) Pacific Time","America/Los_Angeles (America/Los_Angeles), PST (UTC-08:00 Baja California, Pacific Time (US & Canada))",-8
America/Tijuana,"(GMT-08:00) Pacific Time - Tijuana",,-8
America/Vancouver,"(GMT-08:00) Pacific Time - Vancouver","Canada/Pacific (Canada/Pacific)",-8
America/Whitehorse,"(GMT-08:00) Pacific Time - Whitehorse","Canada/Yukon (Canada/Yukon)",-8
Pacific/Pitcairn,"(GMT-08:00) Pitcairn",,-8
America/Denver,"(GMT-07:00) Mountain Time","America/Denver (America/Denver)",-7
America/Phoenix,"(GMT-07:00) Mountain Time - Arizona","US/Arizona (Arizona)",-7
America/Mazatlan,"(GMT-07:00) Mountain Time - Chihuahua, Mazatlan",,-7
America/Dawson_Creek,"(GMT-07:00) Mountain Time - Dawson Creek",,-7
America/Edmonton,"(GMT-07:00) Mountain Time - Edmonton","Canada/Mountain (Canada/Mountain)",-7
America/Hermosillo,"(GMT-07:00) Mountain Time - Hermosillo",,-7
America/Yellowknife,"(GMT-07:00) Mountain Time - Yellowknife",,-7
America/Belize,"(GMT-06:00) Belize",,-6
America/Chicago,"(GMT-06:00) Central Time","America/Chicago (America/Chicago), CST (UTC-06:00 Central America, Central Time (US & Canada), Mexico City)",-6
